多参数水体组份原位光谱分析系统保存数据

保存时间：2018年9月19日 星期三 11:36:48-447
数据个数：2048

波长/nm	DN值
598.1440	41215
598.5576	40656
598.9711	40082
599.3847	39564
599.7983	39227
600.2119	38756
600.6255	38586
601.0391	38998
601.4528	39297
601.8665	39803
602.2802	40394
602.6939	41118
603.1076	41679
603.5214	42083
603.9351	42287
604.3489	42346
604.7627	42736
605.1765	42723
605.5903	42562
606.0042	42154
606.4180	41449
606.8320	40581
607.2459	39718
607.6599	38809
608.0738	37407
608.4877	35595
608.9017	33320
609.3158	30868
609.7299	28226
610.1439	25543
610.5580	23081
610.9721	20849
611.3862	18953
611.8003	17531
612.2144	16661
612.6287	16143
613.0428	15870
613.4570	16204
613.8713	17149
614.2855	18670
614.6998	20364
615.1140	22185
615.5283	23994
615.9426	25330
616.3570	26514
616.7714	27649
617.1857	28443
617.6001	28907
618.0145	29328
618.4290	29595
618.8433	30179
619.2578	30756
619.6723	31272
620.0868	31651
620.5013	32092
620.9159	32379
621.3305	32648
621.7450	32793
622.1596	32962
622.5742	33015
622.9889	33246
623.4036	33393
623.8182	33642
624.2329	33996
624.6476	34232
625.0623	34324
625.4771	34345
625.8918	34468
626.3066	34504
626.7214	34341
627.1362	34188
627.5510	33933
627.9659	33396
628.3807	32917
628.7957	32454
629.2105	32013
629.6254	31419
630.0404	30901
630.4553	30445
630.8703	30077
631.2853	29879
631.7003	29744
632.1154	29614
632.5304	29400
632.9454	29076
633.3605	28730
633.7756	28377
634.1907	28140
634.6060	27782
635.0211	27518
635.4363	27307
635.8515	27037
636.2667	26329
636.6819	25050
637.0971	23373
637.5124	21278
637.9277	19048
638.3430	16710
638.7582	14363
639.1736	12088
639.5889	9777
640.0043	7597
640.4197	5695
640.8350	4175
641.2505	3183
641.6660	2696
642.0814	2604
642.4969	2734
642.9124	2947
643.3279	3298
643.7433	3737
644.1589	4246
644.5745	4817
644.9901	5489
645.4057	6265
645.8213	7157
646.2369	8140
646.6526	9237
647.0683	10272
647.4839	11310
647.8996	12358
648.3153	13327
648.7311	14211
649.1468	15073
649.5625	15810
649.9783	16575
650.3941	17298
650.8099	18098
651.2258	19045
651.6416	20077
652.0574	20829
652.4733	21534
652.8892	22137
653.3052	22701
653.7211	23294
654.1371	23918
654.5530	24672
654.9691	25368
655.3850	25801
655.8010	25932
656.2171	25878
656.6332	25774
657.0493	25847
657.4653	26193
657.8815	26678
658.2975	26939
658.7137	27099
659.1298	27439
659.5460	27754
659.9622	27860
660.3784	27714
660.7946	27524
661.2108	27167
661.6271	26450
662.0433	25658
662.4596	24978
662.8759	24329
663.2922	23856
663.7086	23295
664.1249	22912
664.5414	22648
664.9577	22476
665.3741	22395
665.7905	22334
666.2069	22327
666.6234	22315
667.0399	22390
667.4564	22481
667.8729	22642
668.2894	22781
668.7059	23020
669.1225	23224
669.5391	23469
669.9556	23908
670.3722	24257
670.7888	24548
671.2054	24812
671.6221	25184
672.0387	25407
672.4554	25573
672.8721	25806
673.2888	25984
673.7055	26312
674.1223	26638
674.5390	26747
674.9558	26730
675.3726	26791
675.7894	26651
676.2062	26522
676.6230	26490
677.0399	26356
677.4568	26032
677.8737	25307
678.2906	24326
678.7075	23260
679.1245	22017
679.5414	20507
679.9583	18815
680.3753	16940
680.7923	15160
681.2094	13481
681.6263	11927
682.0434	10430
682.4604	9205
682.8775	8283
683.2946	7593
683.7117	6986
684.1288	6574
684.5459	6336
684.9631	6271
685.3802	6313
685.7974	6465
686.2146	6760
686.6318	7233
